# Điểm trúng tuyển các năm của Trường Đại học Nha Trang
Source: https://tuyensinh.ntu.edu.vn/diem-trung-tuyen-cac-nam
## Bang 1
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Điểm thi TN THPT 2025 | - | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Tổ hợp có môn Toán hệ số 1 | Tổ hợp có môn Toán hệ số 2; hoặc Tiếng Anh hệ số 2 | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- I | Chương trình đào tạo đặc biệt | - | - | - | - | - | -
- 7 | 7620301 | Nuôi trồng thuỷ sản (03 chuyên ngành: Công nghệ Nuôi trồng thủy sản, Quản lý sức khỏe động vật thuỷ sản, Quản lý Nuôi trồng thủy sản; 01 Chương trình đào tạo Minh Phú - NTU) | 15.5 | 5.7 | 650 | -
- 8 | 7540105 | Công nghệ chế biến thuỷ sản (02 chuyên ngành: Công nghệ chế biến thủy sản, Công nghệ sau thu hoạch; 01 Chương trình đào tạo Minh Phú - NTU) | 15.5 | 5.7 | 600 | -
- 9 | 7540101 | Công nghệ thực phẩm (02 chuyên ngành: Công nghệ thực phẩm, Đảm bảo chất lượng và an toàn thực phẩm) | 16.0 | 6.0 | 650 | 4.0
- 10 | 7520301 | Kỹ thuật hoá học | 15.5 | 5.7 | 600 | -
- 11 | 7420201 | Công nghệ sinh học | 15.5 | 5.7 | 600 | -
- 12 | 7520320 | Kỹ thuật môi trường (02 chuyên ngành: Kỹ thuật môi trường, Quản lý môi trường và an toàn lao động) | 15.5 | 5.7 | 600 | -
- 13 | 7520103 | Kỹ thuật cơ khí (02 chuyên ngành: Kỹ thuật cơ khí, Thiết kế và chế tạo số) | 15.5 | 5.7 | 650 | -
- 14 | 7510202 | Công nghệ chế tạo máy | 15.5 | 5.7 | 600 | -
- 15 | 7520114 | Kỹ thuật cơ điện tử | 15.5 | 5.7 | 600 | -
- 16 | 7520115 | Kỹ thuật nhiệt (03 chuyên ngành: Kỹ thuật nhiệt lạnh, Máy lạnh, điều hòa không khí và thông gió, Máy lạnh và thiết bị nhiệt thực phẩm) | 15.5 | 5.7 | 600 | -
- 17 | 7840106 | Khoa học hàng hải (02 chuyên ngành: Khoa học hàng hải, Quản lý hàng hải và Logistics) | 17.0 | 6.3 | 650 | -
- 18 | 7520116 | Kỹ thuật cơ khí động lực | 15.5 | 5.7 | 600 | -
- 19 | 7520122 | Kỹ thuật tàu thủy | 16.0 | 6.0 | 600 | -
- 20 | 7520130 | Kỹ thuật ô tô | 18.0 | 6.6 | 700 | 4.0
- 21 | 7520201 | Kỹ thuật điện (02 chuyên ngành: Kỹ thuật điện, điện tử; Kỹ thuật điều khiển và tự động hóa ) | 15.5 | 5.7 | 650 | -
- 22 | 7580201 | Kỹ thuật xây dựng (03 chuyên ngành: Kỹ thuật xây dựng , Quản lý xây dựng, Kỹ thuật xây dựng công trình giao thông) | 15.5 | 5.7 | 650 | -
- 23 | 7480201 | Công nghệ thông tin (04 chuyên ngành: Công nghệ phần mềm, Hệ thống thông tin, Truyền thông và Mạng máy tính, Tin học ứng dụng trong nông nghiệp và y dược) | 18.0 | 6.6 | 725 | 4.5
- 24 | 7340405 | Hệ thống thông tin quản lý | 17.0 | 6.3 | 650 | 4.5
- 25 | 7810103P | Quản trị dịch vụ du lịch và lữ hành (Chương trình song ngữ Pháp-Việt) | 16.0 | 6.0 | 650 | -
- 26 | 7810103 | Quản trị dịch vụ du lịch và lữ hành | 18.0 | 6.6 | 700 | 5.0
- 27 | 7810201 | Quản trị khách sạn | 18.0 | 6.6 | 700 | 5.0
- 28 | 7340101 | Quản trị kinh doanh | 20.0 | 7.4 | 725 | 5.0
- 29 | 7340115 | Marketing | 20.0 | 7.4 | 725 | 5.0
- 30 | 7340121 | Kinh doanh thương mại | 19.0 | 7.0 | 700 | 5.0
- 31 | 7340201 | Tài chính - Ngân hàng (02 chuyên ngành: Tài chính - Ngân hàng, Công nghệ tài chính) | 18.0 | 6.6 | 700 | 4.5
- 32 | 7340301 | Kế toán (02 chuyên ngành: Kế toán, Kiểm toán) | 18.0 | 6.6 | 700 | 4.5
- 33 | 7380101 | Luật (02 chuyên ngành: Luật, Luật kinh tế) | 19.0 | 7.0 | 725 | 4.5
- 34 | 7220201 | Ngôn ngữ Anh (0 4 chuyên ngành: Biên - phiên dịch, Tiếng Anh du lịch, Giảng dạy Tiếng Anh, Song ngữ Anh - Trung) | 21.0 | 7.7 | 725 | 6.5
- 35 | 7310101 | Kinh tế (02 chuyên ngành: Kinh tế thủy sản, Quản lý kinh tế) | 17.0 | 6.3 | 650 | 4.5
- 36 | 7310105 | Kinh tế phát triển | 18.0 | 6.6 | 700 | -
- Tổng 60 ngành/chuyên ngành/chương trình đào tạo | - | - | - | - | - | 18
Ghi chú :
- Điểm điều kiện tiếng Anh là điểm thi tốt nghiệp THPT năm 2022.
- Điểm chuẩn áp dụng như nhau cho tất cả tổ hợp xét tuyển (Phương thức Điểm thi THPT) cho mỗi ngành, chương trình đào tạo.
### Bang 5
- TT | Mã ngành | Tên ngành | Chỉ tiêu | Tổ hợp xét tuyển | Điểm thi THPT 2021 | Điểm xét TN THPT 2021 | Điểm ĐGNL 2021 | Điểm sàn Tiếng Anh
- I | CHƯƠNG TRÌNH CHẤT LƯỢNG CAO | - | - | - | - | - | - | -
- 1 | 7340101A | Quản trị kinh doanh (Chương trình song ngữ Anh-Việt) | 30 | A01; D01; D07; D96 | 23 | 7 | 700 | 5.5
- 2 | 7340301PHE | Kế toán (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 30 | A01; D01; D07; D96 | 20 | 7 | 700 | 5.5
- 3 | 7480201PHE | Công nghệ thông tin (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 30 | A01; D01; D07; D96 | 20 | 7 | 700 | 5.5
- 4 | 7810201PHE | Quản trị khách sạn (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 60 | A01; D01; D07; D96 | 20 | 7 | 700 | 5.5
- II | CHƯƠNG TRÌNH CHUẨN | - | - | - | - | - | - | -
- 5 | 7620304 | Khai thác thuỷ sản (chuyên ngành: Khai thác hàng hải thủy sản) | 50 | A00; A01; B00; D07 | 15 | 5.7 | 600 | -
- 6 | 7620305 | Quản lý thuỷ sản | 50 | A00; A01; B00; D07 | 16 | 6 | 650 | -
- 7 | 7620303 | Khoa học thủy sản (dự kiến mở) | 50 | A00; A01; B00; D07 | - | - | - | -
- 8 | 7620301 | Nuôi trồng thuỷ sản (3 chuyên ngành: Công nghệ Nuôi trồng thủy sản; Quản lý sức khỏe động vật thuỷ sản, Quản lý Nuôi trồng thủy sản) | 160 | A01; B00; D01; D96 | 16 | 6 | 650 | -
- 9 | 7420201 | Công nghệ sinh học | 60 | A00; A01; B00; D07 | 16 | 5.7 | 600 | -
- 10 | 7520320 | Kỹ thuật môi trường (chuyên ngành: Quản lý môi trường và sức khỏe nghề nghiệp) | 50 | A00; A01; B00; D07 | 16 | 5.7 | 600 | -
- 11 | 7520103 | Kỹ thuật cơ khí (chuyên ngành: Thiết kế và chế tạo số) | 80 | A00; A01; C01; D07 | 16 | 6 | 650 | -
- 12 | 7510202 | Công nghệ chế tạo máy | 50 | A00; A01; C01; D07 | 15 | 5.7 | 600 | -
- 13 | 7520114 | Kỹ thuật cơ điện tử | 80 | A00; A01; C01; D07 | 16 | 5.7 | 600 | -
- 14 | 7520115 | Kỹ thuật nhiệt (3 chuyên ngành: Kỹ thuật nhiệt lạnh; Máy lạnh, điều hòa không khí và thông gió; Máy lạnh và thiết bị nhiệt thực phẩm) | 80 | A00; A01; C01; D07 | 15.5 | 5.7 | 600 | -
- 15 | 7840106 | Khoa học hàng hải (2 chuyên ngành: Khoa học hàng hải; Quản lý hàng hải và Logistics) | 80 | A00; A01; C01; D07 | 18 | 6 | 650 | -
- 16 | 7520116 | Kỹ thuật cơ khí động lực | 50 | A00; A01; C01; D07 | 16 | 5.7 | 600 | -
- 17 | 7520122 | Kỹ thuật tàu thủy | 80 | A00; A01; C01; D07 | 16 | 5.8 | 600 | -
- 18 | 7520130 | Kỹ thuật ô tô | 180 | A00; A01; C01; D07 | 20 | 6.7 | 700 | -
- 19 | 7520201 | Kỹ thuật điện (chuyên ngành Kỹ thuật điện, điện tử) | 100 | A00; A01; C01; D07 | 16 | 6 | 650 | -
- 20 | 7520216 | Kỹ thuật điều khiển và tự động hóa (dự kiến mở) | 50 | A00; A01; C01; D07 | - | - | - | -
- 21 | 7580201 | Kỹ thuật xây dựng (3 chuyên ngành: Kỹ thuật xây dựng; Kỹ thuật xây dựng công trình giao thông; Quản lý xây dựng) | 180 | A00; A01; C01; D07 | 16 | 6 | 650 | -
- 22 | 7520301 | Kỹ thuật hoá học | 50 | A00; A01; B00; D07 | 15 | 5.7 | 600 | -
- 23 | 7540101 | Công nghệ thực phẩm (2 chuyên ngành: Công nghệ thực phẩm; Đảm bảo chất lượng và an toàn thực phẩm) | 180 | A00; A01; B00; D07 | 16 | 6 | 650 | -
- 24 | 7540105 | Công nghệ chế biến thuỷ sản (2 chuyên ngành: Công nghệ chế biến thủy sản; Công nghệ sau thu hoạch) | 50 | A00; A01; B00; D07 | 15 | 5.7 | 600 | -
- 25 | 7480201 | Công nghệ thông tin (3 chuyên ngành: Công nghệ thông tin; Truyền thông và Mạng máy tính; Tin học ứng dụng trong nông nghiệp và y dược) | 220 | A01; D01; D07; D96 | 19 | 6.5 | 700 | 5
- 26 | 7340405 | Hệ thống thông tin quản lý | 50 | A01; D01; D07; D96 | 17 | 6.3 | 650 | -
- 27 | 7810103P | Quản trị dịch vụ du lịch và lữ hành (Chương trình song ngữ Pháp-Việt) | 30 | D03; D97 | 18 | 6.5 | 650 | -
- 28 | 7810103 | Quản trị dịch vụ du lịch và lữ hành | 140 | A01; D01; D07; D96 | 20 | 7 | 700 | 5
- 29 | 7810201 | Quản trị khách sạn | 150 | A01; D01; D07; D96 | 20 | 7 | 700 | 5
- 30 | 7340101 | Quản trị kinh doanh | 150 | A01; D01; D07; D96 | 23 | 7.2 | 720 | 5
- 31 | 7340115 | Marketing | 110 | A01; D01; D07; D96 | 23 | 7.2 | 720 | 5
- 32 | 7340121 | Kinh doanh thương mại | 110 | A01; D01; D07; D96 | 22 | 7 | 700 | 5
- 33 | 7340201 | Tài chính - ngân hàng (02 chuyên ngành: Tài chính – Ngân hàng; Công nghệ tài chính) | 150 | A01; D01; D07; D96 | 20 | 7 | 700 | 5
- 34 | 7340301 | Kế toán (2 chuyên ngành: Kế toán; Kiểm toán) | 150 | A01; D01; D07; D96 | 20 | 7 | 700 | 5
- 35 | 7380101 | Luật (02 chuyên ngành: Luật, Luật kinh tế) | 120 | C00; D01; D07; D96 | 21 | 6.8 | 700 | -
- 36 | 7220201 | Ngôn ngữ Anh ( 4 chuyên ngành: Biên - phiên dịch; Tiếng Anh du lịch; Giảng dạy Tiếng Anh; Song ngữ Anh - Trung) | 200 | A01; D01; D14; D15 | 24 | 7.4 | 740 | 6.5
- 37 | 7310101 | Kinh tế (02 chuyên ngành: Kinh tế thủy sản; Quản lý kinh tế) | 100 | A01; D01; D07; D96 | 18 | 6.1 | 650 | -
- 38 | 7310105 | Kinh tế phát triển | 60 | A01; D01; D07; D96 | 20 | 6.7 | 700 | -
- - | Tổng số 35 ngành (53 chuyên ngành/chương trình đào tạo) | - | 3600 | - | - | - | - | -
### Bang 6
- TT | Mã ngành | Tên ngành | Điểm sàn tiếng Anh | Điểm chuẩn trúng tuyển theo các phương thức | - | -
- TT | Mã ngành | Tên ngành | Điểm sàn tiếng Anh | Điểm XÉT TỐT NGHIỆP (Thang điểm 10) | Điểm Đánh giá năng lực (Thang điểm 1200) | Điểm THI THPT – theo tổ hợp xét tuyển (Thang điểm 30)
- I | Chương trình tiên tiến – chất lượng cao | - | - | - | - | -
- 1 | 7340101A | Quản trị kinh doanh (Chương trình song ngữ Anh-Việt) | 6.0 | 7.0 | 700 | 21.0
- 2 | 7810201PHE | Quản trị khách sạn (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 6.0 | 7.0 | 700 | 22.0
- 3 | 7340301PHE | Kế toán (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 5.0 | 7.0 | 700 | 21.0
- 4 | 7480201PHE | Công nghệ thông tin (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 5.0 | 7.0 | 700 | 18.0
- II | Chương trình chuẩn | - | - | - | - | -
- 1 | 7620304 | Khai thác thuỷ sản | - | 5.7 | 600 | 15.0
- 2 | 7620305 | Quản lý thuỷ sản | - | 5.7 | 600 | 16.0
- 3 | 7620301 | Nuôi trồng thuỷ sản (3 chuyên ngành: Công nghệ Nuôi trồng thủy sản; Quản lý sức khỏe động vật thuỷ sản, Quản lý Nuôi trồng thủy sản) | - | 5.7 | 600 | 15.0
- 4 | 7420201 | Công nghệ sinh học | - | 5.7 | 600 | 15.0
- 5 | 7520320 | Kỹ thuật môi trường | - | 5.7 | 600 | 15.0
- 6 | 7520103 | Kỹ thuật cơ khí | - | 5.9 | 650 | 15.5
- 7 | 7510202 | Công nghệ chế tạo máy | - | 5.7 | 600 | 15.0
- 8 | 7520114 | Kỹ thuật cơ điện tử | - | 5.7 | 600 | 15.0
- 9 | 7520115 | Kỹ thuật nhiệt (3 chuyên ngành: Kỹ thuật nhiệt lạnh; Máy lạnh, điều hòa không khí và thông gió; Máy lạnh và thiết bị nhiệt thực phẩm) | - | 5.7 | 600 | 15.0
- 10 | 7520130 | Kỹ thuật ô tô | - | 6.5 | 700 | 20.0
- 11 | 7520116 | Kỹ thuật cơ khí động lực | - | 5.7 | 600 | 15.0
- 12 | 7520122 | Kỹ thuật tàu thủy | - | 5.8 | 600 | 15.5
- 13 | 7840106 | Khoa học hàng hải | - | 5.7 | 600 | 15.0
- 14 | 7540101 | Công nghệ thực phẩm (2 chuyên ngành: Công nghệ thực phẩm; Đảm bảo chất lượng và an toàn thực phẩm) | - | 6.0 | 650 | 16.5
- 15 | 7540105 | Công nghệ chế biến thuỷ sản (2 chuyên ngành: Công nghệ chế biến thủy sản; Công nghệ sau thu hoạch) | - | 5.7 | 600 | 15.0
- 16 | 7520301 | Kỹ thuật hoá học | - | 5.7 | 600 | 15.0
- 17 | 7510301 | Kỹ thuật điện (chuyên ngành CNKT điện, điện tử) | - | 5.9 | 600 | 16.0
- 18 | 7580201 | Kỹ thuật xây dựng (2 chuyên ngành: Kỹ thuật xây dựng; Kỹ thuật xây dựng công trình giao thông) | - | 6.0 | 650 | 16.0
- 19 | 7480201 | Công nghệ thông tin (2 chuyên ngành: Công nghệ thông tin; Truyền thông và Mạng máy tính) | 4.0 | 6.3 | 700 | 19.0
- 20 | 7340405 | Hệ thống thông tin quản lý | - | 6.0 | 600 | 17.0
- 21 | 7810201 | Quản trị khách sạn | 5.0 | 7.3 | 700 | 22.0
- 22 | 7810103 | Quản trị dịch vụ du lịch và lữ hành | 5.0 | 7.2 | 700 | 21.0
- 23 | 7810103P | Quản trị dịch vụ du lịch và lữ hành (Chương trình song ngữ Pháp-Việt) | - | 6.5 | 650 | 18.0
- 24 | 7340101 | Quản trị kinh doanh | 4.0 | 7.2 | 700 | 21.5
- 25 | 7340115 | Marketing | - | 7.2 | 700 | 21.0
- 26 | 7340121 | Kinh doanh thương mại | 4.0 | 6.5 | 700 | 21.0
- 27 | 7310101 | Kinh tế (chuyên ngành Kinh tế thủy sản) | - | 6.1 | 700 | 17.0
- 28 | 7310105 | Kinh tế phát triển | - | 6.3 | 700 | 19.0
- 29 | 7340301 | Kế toán (2 chuyên ngành: Kế toán; Kiểm toán) | - | 7.0 | 700 | 21.5
- 30 | 7340201 | Tài chính - ngân hàng | - | 6.8 | 700 | 20.5
- 31 | 7380101 | Luật (02 chuyên ngành: Luật, Luật kinh tế) | - | 6.5 | 700 | 19.0
- 32 | 7220201 | Ngôn ngữ Anh ( 4 chuyên ngành: Biên - phiên dịch; Tiếng Anh du lịch; Giảng dạy Tiếng Anh; Song ngữ Anh - Trung) | 6.0 | 7.3 | 700 | 23.5
### Bang 7
- STT | Mã ngành | Tên ngành | Tổ hợp môn | Điểm chuẩn | Ghi chú
- 1 | 7220201 | Ngôn ngữ Anh | A01, D01, D14, D15 | 21 | NN >= 6
- 2 | 7310101A | Kinh tế (chuyên ngành Luật kinh tế) | A00, A01 , D01, D96 | 17 | -
- 3 | 7310101B | Kinh tế (chuyên ngành Kinh tế thủy sản) | A00. A01, D01, D07 | 15 | -
- 4 | 7310105 | Kinh tế phát triển | A00, A01, D01, D07 | 15.5 | -
- 5 | 7340101 | Quản trị kinh doanh | A00, A01, D01, D07 | 20 | -
- 6 | 7340101A | Quản trị kinh doanh (chương trình song ngữ Anh - Việt) | A01, D01, D07, D96 | 20 | NN >= 6
- 7 | 7340115 | Marketing | A00, A01, D01, D07 | 18.5 | -
- 8 | 7340121 | Kinh doanh thương mại | A00, A01, D01, D07 | 17 | -
- 9 | 7340201 | Tài chính Ngân hàng | A00, A01, D01, D07 | 17 | -
- 10 | 7340301 | Kế toán | A00, A01, D01, D07 | 17.5 | -
- 11 | 7340405 | Hệ thống thông tin quản lý | A00 | 15 | -
- 12 | 7420201 | Công nghệ sinh học | A00 | 15 | -
- 13 | 7480201 | Công nghệ thông tin | A00, A01, D01, D07 | 17 | -
- 14 | 7480201PHE | Công nghệ thông tin (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh - Việt) | A01, D01, D07, D96 | 17 | NN >= 5
- 15 | 7510301 | Công nghệ kỹ thuật điện, điện tử | A00, A01, C01, D07 | 15.5 | -
- 16 | 7520103A | Nhóm ngành Kỹ thuật cơ khí (2 ngành: Kỹ thuật cơ khí; Công nghệ chế tạo máy) | A00, A01, C01, D07 | 15 | -
- 17 | 7520103B | Kỹ thuật cơ khí (chuyên ngành Kỹ thuật cơ khí động lực) | A00, A01, C01, D07 | 15 | -
- 18 | 7520114 | Kỹ thuật cơ điện tử | A00, A01, C01, D07 | 15 | -
- 19 | 7520115 | Kỹ thuật nhiệt | A00, A01, C01, D07 | 15 | -
- 20 | 7520122 | Kỹ thuật tàu thuỷ | A00, A01, C01, D07 | 15 | -
- 21 | 7520130 | Kỹ thuật ô tô | A00, A01, C01, D07 | 16.5 | -
- 22 | 7520301 | Kỹ thuật hoá học | A00, A01, B00, D07 | 15 | -
- 23 | 7520320 | Kỹ thuật môi trường | A00, A01, B00, D07 | 15 | -
- 24 | 7540101 | Công nghệ thực phẩm | A00, A01, B00, D07 | 15.5 | -
- 25 | 7540104 | Công nghệ sau thu hoạch | A00, A01, B00, D07 | 15 | -
- 26 | 7540105 | Công nghệ chế biến thuỷ sản | A00, A01, B00, D07 | 15 | -
- 27 | 7580201 | Kỹ thuật xây dựng | A00, A01,C01,D07 | 15 | -
- 28 | 7620301 | Nuôi trồng thuỷ sản | A00, A01, B00, D07 | 15 | -
- 29 | 7620304 | Khai thác thuỷ sản | A00, A01, B00, D07 | 15 | -
- 30 | 7620305 | Quản lý thủy sản | A00, A01, B00, D07 | 15 | -
- 31 | 7810103 | Quản trị dịch vụ du lịch và lữ hành | A00, A01, D01, D07 | 21 | -
- 32 | 7810103P | Quản trị dịch vụ du lịch và lữ hành (chuyên ngành song ngữ Pháp - Việt) | D03, D97 | 16 | -
- 33 | 7810103PHE | Quản trị dịch vụ du lịch và lữ hành (chuyên ngành Quản trị khách sạn, chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh - Việt) | A01, D01, D07, D96 | 21 | NN >=6
- 34 | 7840106 | Khoa học hàng hải | A00, A01, C01, D07 | 15 | -
### Bang 8
- TT | Mã ngành | Tên ngành | Tổ hợp xét tuyển | Điểm chuẩn trúng tuyển học bạ đợt 1
- - | 7220201 | Ngôn ngữ Anh (3 chuyên ngành: Biên - phiên dịch; Tiếng Anh du lịch; Phương pháp giảng dạy Tiếng Anh) | D01; A01; D14; D15 | 25,00
- - | 7340101 | Quản trị kinh doanh | A00; A01; D01; D07 | 25,00
- - | 7810103 | Quản trị dịch vụ du lịch và lữ hành (2 chuyên ngành: Quản trị khách sạn; Quản trị dịch vụ du lịch và lữ hành) | A00; A01; D01; D07 | 25,00
- - | 7340301 | Kế toán (2 chuyên ngành: Kế toán; Kiểm toán) | A00; A01; D01; D07 | 24,00
- - | 7340201 | Tài chính - ngân hàng | A00; A01; D01; D07 | 24,00
- - | 7340121 | Kinh doanh thương mại | A00; A01; D01; D07 | 24,00
- - | 7340115 | Marketing | A00; A01; D01; D07 | 24,00
- - | 7310101A | Kinh tế (chuyên ngành Luật kinh tế) | A00; A01; D01; D96 | 24,00
- - | 7520130 | Kỹ thuật ô tô | A00; A01; C01; D07 | 24,00
- - | 7480201 | Công nghệ thông tin (2 chuyên ngành: Công nghệ thông tin; Truyền thông và Mạng máy tính) | A00; A01; D01; D07 | 24,00
- - | 7540101 | Công nghệ thực phẩm (2 Chuyên ngành: Công nghệ thực phẩm; Đảm bảo chất lượng và an toàn thực phẩm) | A00; A01; B00; D07 | 24,00
- - | 7340101P | Quản trị kinh doanh (chương trình song ngữ Pháp-Việt) | A00; A01; D03; D97 | 21,00
- - | 7810103P | Quản trị dịch vụ du lịch và lữ hành (chương trình song ngữ Pháp-Việt) | A00; A01; D01; D07 | 21,00
- - | 7310101B | Kinh tế (chuyên ngành Kinh tế thủy sản) | A00; A01; D01; D07 | 21,00
- - | 7310105 | Kinh tế phát triển | A00; A01; D01; D07 | 21,00
- - | 7420201 | Công nghệ sinh học | A00; A01; B00; D07 | 21,00
- - | 7510301 | Công nghệ kỹ thuật điện, điện tử | A00; A01; C01; D07 | 21,00
- - | 7520115 | Kỹ thuật nhiệt (3 chuyên ngành: Kỹ thuật nhiệt lạnh; Máy lạnh, điều hòa không khí và thông gió; Máy lạnh và thiết bị nhiệt thực phẩm) | A00; A01; C01; D07 | 21,00
- - | 7510202 | Công nghệ chế tạo máy | A00; A01; C01; D07 | 21,00
- - | 7520114 | Kỹ thuật cơ điện tử | A00; A01; C01; D07 | 21,00
- - | 7520103A | Kỹ thuật cơ khí (chuyên ngành Kỹ thuật cơ khí) | A00; A01; C01; D07 | 21,00
- - | 7520103B | Kỹ thuật cơ khí (chuyên ngành Kỹ thuật cơ khí động lực) | A00; A01; C01; D07 | 21,00
- - | 7520122 | Kỹ thuật tàu thủy | A00; A01; C01; D07 | 21,00
- - | 7580201 | Kỹ thuật xây dựng ( 2 chuyên ngành: Kỹ thuật xây dựng; Kỹ thuật xây dựng công trình giao thông) | A00; A01; C01; D07 | 21,00
- - | 7340405 | Hệ thống thông tin quản lý | A00; A01; D01; D07 | 21,00
- - | 7840106 | Khoa học hàng hải | A00; A01; C01; D07 | 18,00
- - | 7620304 | Khai thác thuỷ sản | A00; A01; B00; D07 | 18,00
- - | 7620305 | Quản lý thuỷ sản | A00; A01; B00; D07 | 18,00
- - | 7620301 | Nuôi trồng thuỷ sản (2 chuyên ngành: Nuôi trồng thủy sản; Bệnh học thuỷ sản) | A01; B00; D01; D96 | 18,00
- - | 7540105 | Công nghệ chế biến thuỷ sản | A00; A01; B00; D07 | 18,00
- - | 7540104 | Công nghệ sau thu hoạch | A00; A01; B00; D07 | 18,00
- - | 7520301 | Công nghệ kỹ thuật hoá học | A00; A01; B00; D07 | 18,00
- - | 7520320 | Kỹ thuật môi trường | A00; A01; B00; D07 | 18,00
### Bang 9
- Ngành/Tổ hợp xét tuyển | Năm tuyển sinh 2017 | - | -
- Ngành/Tổ hợp xét tuyển | Chỉ tiêu | Số trúng tuyển | Điểm trúng tuyển
- - Kế toán: Tổ hợp A00; A01; D01; D96 | 250 | 310 | 17,25
- - Tài chính - Ngân hàng: Tổ hợp A00; A01; D01; D96 | 100 | 130 | 17,00
- - Kinh doanh thương mại: Tổ hợp A00; A01; D01; D96 | 80 | 111 | 17,75
- -Marketing: Tổ hợp A00; A01; D01; D96 | 80 | 97 | 17,75
- - Quản trị kinh doanh: Tổ hợp A00; A01; D01; D97 | 170 | 220 | 18,50
- - Quản trị dịch vụ du lịch và lữ hành: Tổ hợp A00; A01; D01; D97 | 270 | 381 | 19,75
- - Ngôn ngữ Anh: Tổ hợp A01; D01; D14; D15 | 140 | 192 | 21,50
- - Quản lý thủy sản: Tổ hợp A00; A01; C01; D07 | 70 | 55 | 15,50
- - Nuôi trồng thủy sản: Tổ hợp A00; A01; B00; D07 | 180 | 91 | 15,50
- - Công nghệ kỹ thuật điện, điện tử: Tổ hợp A00; A01; C01; D07 | 120 | 93 | 16,00
- - Công nghệ chế tạo máy: Tổ hợp A00; A01; C01; D07 | 70 | 30 | 15,50
- - Công nghệ kỹ thuật cơ khí: Tổ hợp A00; A01; C01; D07 | 70 | 114 | 16,00
- - Công nghệ kỹ thuật cơ điện tử: Tổ hợp A00; A01; C01; D07 | 70 | 42 | 15,50
- - Công nghệ kỹ thuật nhiệt: Tổ hợp A00; A01; C01; D07 | 80 | 48 | 15,50
- - Công nghệ kỹ thuật ô tô: Tổ hợp A00; A01; C01; D07 | 150 | 212 | 17,00
- - Kỹ thuật tàu thủy: Tổ hợp A00; A01; C01; D07 | 70 | 31 | 16,00
- - Khoa học hàng hải: Tổ hợp A00; A01; C01; D07 | 40 | 21 | 15,50
- - Công nghệ kỹ thuật xây dựng: Tổ hợp A00; A01; C01; D90 | 70 | 81 | 16,00
- - Công nghệ thông tin: Tổ hợp A00; A01; C01; D01 | 120 | 209 | 17,5
- - Hệ thống thông tin quản lý: Tổ hợp A00; A01; C01; D01 | 60 | 41 | 15,50
- - Công nghệ thực phẩm: Tổ hợp A00; A01; B00; D07 | 200 | 215 | 16,00
- - Công nghệ chế biến thủy sản: Tổ hợp A00; A01; B00; D07 | 80 | 46 | 16,00
- - Công nghệ sau thu hoạch: Tổ hợp A00; A01; B00; D07 | 70 | 8 | 15,50
- - Công nghệ kỹ thuật hóa học: Tổ hợp A00; B00; C02; D07 | 70 | 39 | 15,50
- - Công nghệ kỹ thuật môi trường: Tổ hợp A00; A01; A02; B00 | 120 | 16 | 15,50
- - Công nghệ sinh học: Tổ hợp A00; A02; B00; D08 | 60 | 46 | 16,0
- Tổng chỉ tiêu tuyển sinh | 3.000 | - | -
### Bang 10
- Ngành/Tổ hợp xét tuyển | Năm tuyển sinh 2016 | - | -
- Ngành/Tổ hợp xét tuyển | Chỉ tiêu | Số trúng tuyển | Điểm trúng tuyển
- - Kế toán: Tổ hợp A00; A01; D01; D96 | 200 | 174 | 17,0
- - Tài chính - Ngân hàng: Tổ hợp A00; A01; D01; D96 | 120 | 63 | 16,0
- - Kinh doanh thương mại: Tổ hợp A00; A01; D01; D96 | 150 | 109 | 16,0
- -Marketing: Tổ hợp A00; A01; D01; D96 | 80 | 72 | 16,0
- - Quản trị kinh doanh: Tổ hợp A00; A01; D01; D97 | 150 | 114 | 17,0
- - Quản trị dịch vụ du lịch và lữ hành: Tổ hợp A00; A01; D01; D97 | 160 | 139 | 18,5
- - Ngôn ngữ Anh: Tổ hợp A01; D01; D14; D15 | 140 | 150 | 17,5
- - Quản lý thủy sản: Tổ hợp A00; A01; C01; D07 | 50 | 50 | 15,0
- - Nuôi trồng thủy sản: Tổ hợp A00; A01; B00; D07 | 160 | 91 | 15,0
- - Công nghệ kỹ thuật điện, điện tử: Tổ hợp A00; A01; C01; D07 | 70 | 104 | 16,0
- - Công nghệ chế tạo máy: Tổ hợp A00; A01; C01; D07 | 50 | 43 | 15,0
